,id,term,vader,liu,subj,liwc
421,cog98,cognition,0.2601,-4.0,-6.0,-3.0
422,cog99,cognition,3.7211,3.0,-2.0,13.0
423,cog100,cognition,0.7851,-6.0,3.0,3.0
424,cog101,cognition,0.19510000000000038,-4.0,-2.0,8.0
425,cog102,cognition,-1.3824,-10.0,-2.0,3.0
426,cog103,cognition,6.839700000000001,6.0,0.0,11.0
427,cog104,cognition,1.5444,-4.0,5.0,-7.0
428,cog105,cognition,3.5058,4.0,-11.0,12.0
429,cog106,cognition,1.9264,0.0,-2.0,2.0
430,cog107,cognition,6.839700000000001,6.0,0.0,11.0
431,cog108,cognition,-6.1845,-8.0,-10.0,11.0
432,cog109,cognition,1.5201000000000005,-4.0,1.0,13.0
433,cog110,cognition,-9.8989,-14.0,2.0,9.0
434,cog111,cognition,0.9101999999999999,0.0,-3.0,3.0
435,cog112,cognition,-0.9423999999999999,1.0,-8.0,15.0
436,cog113,cognition,2.4076,2.0,-1.0,6.0
437,cog114,cognition,4.2688,7.0,1.0,11.0
438,cog115,cognition,-6.1845,-8.0,-10.0,11.0
439,cog116,cognition,2.6496,-1.0,10.0,4.0
440,cog117,cognition,-0.5756999999999998,-1.0,-3.0,5.0
441,cog118,cognition,4.0386999999999995,10.0,-2.0,4.0
442,cog119,cognition,3.0069999999999997,6.0,-3.0,4.0
443,cog120,cognition,3.7817000000000003,8.0,10.0,7.0
444,cog121,cognition,0.1960999999999996,3.0,-9.0,3.0
445,cog122,cognition,1.8009000000000006,-5.0,-5.0,10.0
446,cog123,cognition,1.9316999999999998,-2.0,0.0,0.0
447,cog124,cognition,5.1476,4.0,-5.0,6.0
448,cog125,cognition,14.388599999999997,22.0,9.0,6.0
449,cog126,cognition,0.7300000000000002,-2.0,7.0,10.0
450,cog127,cognition,-0.5078000000000003,5.0,-6.0,13.0
451,cog128,cognition,5.195900000000001,6.0,-8.0,18.0
452,cog129,cognition,0.03220000000000023,-4.0,-5.0,2.0
453,cog130,cognition,2.5157000000000007,-1.0,5.0,0.0
454,cog131,cognition,2.3098,2.0,-9.0,2.0
455,cog132,cognition,-2.980500000000001,-6.0,-2.0,-4.0
456,cog133,cognition,4.1629000000000005,2.0,-10.0,-2.0
457,cog134,cognition,-1.8474999999999997,-3.0,-8.0,1.0
458,cog135,cognition,1.8031,2.0,0.0,10.0
459,cog136,cognition,14.388599999999997,22.0,9.0,6.0
460,cog137,cognition,5.862,8.0,-7.0,22.0
461,cog138,cognition,3.6000000000000005,6.0,-4.0,21.0
462,cog139,cognition,-1.1545,-3.0,-2.0,7.0
463,cog140,cognition,3.8205,6.0,-2.0,-3.0
